league,match_time,home_team,away_team,home_score,away_score,1 X 2 - 1,1 X 2 - 2,1 X 2 - X,1H1 X 2 - 1,1H1 X 2 - 2,1H1 X 2 - X,1HHDP - +0/0.5,1HHDP - -0/0.5,1HHDP - 0,1HO/U - O,1HO/U - U,BTTS - No,BTTS - Yes,HDP - +0.5,HDP - +0.5/1,HDP - +0/0.5,HDP - +1,HDP - +1/1.5,HDP - -0.5,HDP - -0.5/1,HDP - -0/0.5,HDP - -1,HDP - -1/1.5,HDP - 0,Next Goal - 1,Next Goal - 2,Next Goal - X,O/E - Even,O/E - Odd,O/U - O,O/U - U,Team 1 Goals - O,Team 1 Goals - U,Team 2 Goals - O,Team 2 Goals - U
Mexico - Primera Division,2024-11-10T23:00:00Z,Necaxa,Atlas,,,3.17,3.31,2.09,,,,,,,,,,,,,,,,3.22,,,,,,,,,,,3.4,1.27,,,,
Honduras - Liga Nacional,2024-11-10T23:15:00Z,Olancho,CD Victoria,,,1.225,16.59,4.87,,,,,,,,,,,,,,,,2.31,,,,,,,,,,,3.5,1.256,,,,
Argentina - Liga Pro,2024-11-10T22:15:00Z,Godoy Cruz,CA Talleres de Cordoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina - Liga Pro,2024-11-10T22:30:00Z,Racing Club,Independiente Rivadavia,,,3.53,9.64,1.45,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,3.9,1.268,,,,
Argentina - Primera B Nacional,2024-11-10T22:20:00Z,Quilmes,Nueva Chicago,,,6.42,9.99,1.192,,,,,,,,,,,,,,,,7.05,,,,,,,,,,,4.69,1.196,,,,
Argentina - Liga Pro Corners,2024-11-10T22:15:00Z,Godoy Cruz (Corners),CA Talleres de Cordoba (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina - Liga Pro Corners,2024-11-10T22:30:00Z,Racing Club (Corners),Independiente Rivadavia (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua - Primera Division,2024-11-11T00:00:00Z,Rancho Santana,Ocotal,,,1.961,3.34,3.51,2.53,4.25,2.12,,,,4.17,1.206,,,,,,,,1.961,,,,,,,,,,,2.68,1.404,,,,
Brazil - Paulista U20,2024-11-10T23:00:00Z,Gremio Novorizontino,Sao Paulo,,,3.25,2.7,2.29,,,,,,,,,,,,,,,,3.25,,,,,,,,,,,3.53,1.223,,,,
Mexico - Primera Division Corners,2024-11-10T23:00:00Z,Necaxa (Corners),Atlas (Corners),,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,,,,2.82,1.353,,,,
Colombia - Primera A,2024-11-10T23:20:00Z,Aguilas Doradas,Boyaca Chico,,,4.61,1.925,2.9,,,,,,,,,,,,,,,,1.917,,,,,,,,,,,4.05,1.21,,,,
Uruguay - Primera Division,2024-11-10T22:00:00Z,Defensor Sporting,Fenix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina - Torneo Regional Federal Amateur,2024-11-10T22:30:00Z,Ben Hur,Nautico El Quilla FC,,,,,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,3.1,1.288,,,,
Argentina - Torneo Regional Federal Amateur,2024-11-10T23:00:00Z,Club Colonial de Ferre,Academia Mascherano,,,,,,,,,,,,,,,,,,,,,2.92,,,,,,,,,,,3.74,1.169,,,,
Argentina - Torneo Regional Federal Amateur,2024-11-10T23:00:00Z,CS Desamparados,CA Colon Junior,,,1.869,5.8,2.27,,,,,,,,,,,,,,,,1.869,,,,,,,,,,,3.16,1.242,,,,
Mexico - Liga TDP,2024-11-10T22:00:00Z,FC San Jose del Arenal,Novillos Neza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela - Primera Division,2024-11-10T23:30:00Z,Monagas SC,Estudiantes de Merida,,,1.934,4.08,3.16,1.192,25.7,5.01,,,,4.45,1.199,,,,,,,,,,,,,,,,,,,3.02,1.341,,,,
Spain - Regional Leagues,2024-11-10T18:00:00Z,San Fernando CD II,Union Balompedica Lebrijana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay - Primera Division Corners,2024-11-10T22:00:00Z,Defensor Sporting (Corners),Fenix (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA - USL Championship Corners,2024-11-10T23:30:00Z,Colorado Springs Switchbacks (Corners),Orange County SC (Corners),,,,,,2.2,4.38,2.51,,,,4.35,1.18,,,,,,,,1.478,,,,,,,,,,,2.79,1.4,,,,
Brazil - Serie B Corners,2024-11-10T22:00:00Z,Avai (Corners),Mirassol (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina - Primera B Nacional Corners,2024-11-10T22:20:00Z,Quilmes (Corners),Nueva Chicago (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica - Premier League,2024-11-10T22:30:00Z,We United FC,Bombers FC,,,,,,,,,,,,,,,,,,,,,2.02,,,,,,,,,,,3.93,1.182,,,,
Jamaica - Premier League,2024-11-10T22:30:00Z,Montego Bay United,Dunbeholden FC,,,1.108,29.12,7.02,,,,,,,,,,,,,,,,2.19,,,,,,,,,,,3.35,1.269,,,,
Jamaica - Premier League,2024-11-10T22:30:00Z,Cavalier,Vere United FC,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,4.48,1.158,,,,
Morocco - Division 1 Women,2024-11-10T13:00:00Z,Renaissance Zemamra,AC Ittihad Tanger FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala - Liga Nacional,2024-11-11T00:00:00Z,Club Comunicaciones,Deportivo Guastatoya,,,1.534,6.32,3.59,2.07,6.81,2.15,,,,3.32,1.312,,,,,,,,1.54,,,,,,,,,,,3.23,1.294,,,,
Colombia - Primera A Corners,2024-11-10T23:20:00Z,Aguilas Doradas (Corners),Boyaca Chico (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.793,1.98,,,,
USA - USL Championship,2024-11-10T23:30:00Z,Colorado Springs Switchbacks,Orange County SC,,,1.781,5.62,3.0,4.25,7.33,1.411,,,,3.86,1.257,,,,,,,,1.787,,,,,,,,,,,3.12,1.331,,,,
Brazil - Serie B,2024-11-10T22:00:00Z,Avai,Mirassol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica - Primera Division Corners,2024-11-10T22:00:00Z,Deportivo Saprissa (Corners),AD Santos de Guapiles (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica - Primera Division Corners,2024-11-11T00:00:00Z,Sporting San Jose FC (Corners),Municipal de Perez Zeledon (Corners),,,,,,,,,,,,3.04,1.343,,,,,,,,1.826,,,,,,,,,,,2.59,1.462,,,,
Venezuela - Primera Division Corners,2024-11-10T21:00:00Z,Carabobo (Corners),Deportivo La Guaira (Corners),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela - Primera Division Corners,2024-11-10T23:30:00Z,Monagas SC (Corners),Estudiantes de Merida (Corners),,,,,,,,,,,,4.39,1.148,,,,,,,,,,,,,,,,,,,2.46,1.465,,,,
Denmark - Division 1,2024-11-10T13:00:00Z,Esbjerg,FC Roskilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paraguay - Division Profesional Corners,2024-11-10T23:30:00Z,Club Guarani (Corners),Club Sol de America (Corners),,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,2.75,1.413,,,,
Paraguay - Division Profesional,2024-11-10T23:30:00Z,Club Guarani,Club Sol de America,,,2.61,3.72,2.35,8.45,11.55,1.149,,,,5.3,1.156,,,,,,,,2.62,,,,,,,,,,,3.88,1.226,,,,
Costa Rica - Primera Division,2024-11-11T00:00:00Z,Sporting San Jose FC,Municipal de Perez Zeledon,,,2.33,3.14,3.04,3.19,3.88,1.97,,,,3.54,1.295,,,,,,,,2.33,,,,,,,,,,,3.21,1.313,,,,
Costa Rica - Primera Division,2024-11-10T22:00:00Z,Deportivo Saprissa,AD Santos de Guapiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puerto Rico - National League,2024-11-10T23:30:00Z,Caguas Sporting FC,MK Elite Soccer Academy,,,,,,,,,,,,3.28,1.288,,,,,,,,1.518,,,,,,,,,,,2.68,1.38,,,,
