Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,SPREAD_FT_-0.5,SPREAD_FT_-1.0,SPREAD_FT_-1.5,SPREAD_FT_-2.0,SPREAD_FT_-2.5,SPREAD_FT_-3.0,SPREAD_FT_-3.5,SPREAD_FT_0.0,SPREAD_FT_0.5,SPREAD_FT_1.0,SPREAD_FT_1.5,SPREAD_FT_2.0,SPREAD_FT_2.5,SPREAD_FT_3.0,SPREAD_FT_3.5,TOTAL_POINTS_FT_10.0,TOTAL_POINTS_FT_10.5,TOTAL_POINTS_FT_11.0,TOTAL_POINTS_FT_11.5,TOTAL_POINTS_FT_12.0,TOTAL_POINTS_FT_12.5,TOTAL_POINTS_FT_13.0,TOTAL_POINTS_FT_13.5,TOTAL_POINTS_FT_14.0,TOTAL_POINTS_FT_14.5,TOTAL_POINTS_FT_15.0,TOTAL_POINTS_FT_15.5,TOTAL_POINTS_FT_16.0,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_6.0,TOTAL_POINTS_FT_6.5,TOTAL_POINTS_FT_7.0,TOTAL_POINTS_FT_7.5,TOTAL_POINTS_FT_8.0,TOTAL_POINTS_FT_8.5,TOTAL_POINTS_FT_9.0,TOTAL_POINTS_FT_9.5,MONEYLINE_1H,SPREAD_1H_-0.5,SPREAD_1H_-1.0,SPREAD_1H_-1.5,SPREAD_1H_0.0,SPREAD_1H_0.5,SPREAD_1H_1.0,SPREAD_1H_1.5,SPREAD_1H_2.0,TOTAL_POINTS_1H_1.5,TOTAL_POINTS_1H_2.0,TOTAL_POINTS_1H_2.5,TOTAL_POINTS_1H_3.0,TOTAL_POINTS_1H_3.5,TOTAL_POINTS_1H_4.0,TOTAL_POINTS_1H_4.5,TOTAL_POINTS_1H_5.0,TOTAL_POINTS_1H_5.5,TOTAL_POINTS_1H_6.0,TOTAL_POINTS_1H_6.5,TOTAL_POINTS_1H_7.0,TOTAL_POINTS_1H_7.5,TOTAL_POINTS_1H_8.0,TOTAL_POINTS_1H_8.5,TOTAL_POINTS_1H_9.0,TOTAL_POINTS_1H_9.5
2024-12-06 20:55:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601780217,Italy - Serie B Corners,2024-12-06T19:30:00Z,Juve Stabia (Corners),Sudtirol (Corners),2,1,"HomeOdds:2.23, AwayOdds:1.657","HomeOdds:2.71, AwayOdds:1.446",,,,,,"HomeOdds:1.99, AwayOdds:1.833","HomeOdds:1.769, AwayOdds:2.06","HomeOdds:1.555, AwayOdds:2.41",,,,,,"OverOdds:2.26, UnderOdds:1.653","OverOdds:2.59, UnderOdds:1.497",,,,,,,,,,,,,,,,,,,,,"OverOdds:1.485, UnderOdds:2.62","OverOdds:1.645, UnderOdds:2.28","OverOdds:1.925, UnderOdds:1.925",,"HomeOdds:2.79, AwayOdds:1.423","HomeOdds:4.85, AwayOdds:1.156",,"HomeOdds:2.02, AwayOdds:1.793","HomeOdds:1.52, AwayOdds:2.49","HomeOdds:1.215, AwayOdds:4.03",,,,,,,,"OverOdds:1.191, UnderOdds:4.42","OverOdds:1.588, UnderOdds:2.37","OverOdds:1.99, UnderOdds:1.833","OverOdds:2.56, UnderOdds:1.507","OverOdds:3.79, UnderOdds:1.248",,,,,,,
2024-12-06 20:55:06,1601780226,Spain - Segunda Division Corners,2024-12-06T19:30:00Z,Mirandes (Corners),Levante (Corners),1,0,"HomeOdds:2.07, AwayOdds:1.769","HomeOdds:2.42, AwayOdds:1.549",,,,,,"HomeOdds:1.847, AwayOdds:1.98","HomeOdds:1.675, AwayOdds:2.2","HomeOdds:1.478, AwayOdds:2.61",,,,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.476, UnderOdds:2.65","OverOdds:1.719, UnderOdds:2.16","OverOdds:1.97, UnderOdds:1.869","OverOdds:2.27, UnderOdds:1.649","OverOdds:2.76, UnderOdds:1.442",,,"HomeOdds:2.64, AwayOdds:1.469","HomeOdds:4.41, AwayOdds:1.184",,"HomeOdds:1.934, AwayOdds:1.877","HomeOdds:1.495, AwayOdds:2.56","HomeOdds:1.204, AwayOdds:4.16",,,,"OverOdds:1.165, UnderOdds:4.83","OverOdds:1.526, UnderOdds:2.51","OverOdds:1.869, UnderOdds:1.961","OverOdds:2.4, UnderOdds:1.571","OverOdds:3.46, UnderOdds:1.289",,,,,,,,,,,
2024-12-06 20:55:06,1601780237,Italy - Serie C Group A Corners,2024-12-06T19:30:00Z,Lecco (Corners),Caldiero Terme (Corners),1,0,"HomeOdds:2.04, AwayOdds:1.74","HomeOdds:2.44, AwayOdds:1.518",,,,,,"HomeOdds:1.813, AwayOdds:1.97","HomeOdds:1.628, AwayOdds:2.21","HomeOdds:1.432, AwayOdds:2.68",,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.334, UnderOdds:3.08","OverOdds:1.561, UnderOdds:2.34","OverOdds:1.763, UnderOdds:2.02","OverOdds:2.05, UnderOdds:1.735","OverOdds:2.49, UnderOdds:1.497",,,,,"HomeOdds:2.7, AwayOdds:1.427","HomeOdds:4.76, AwayOdds:1.154",,"HomeOdds:1.909, AwayOdds:1.877","HomeOdds:1.438, AwayOdds:2.66","HomeOdds:1.16, AwayOdds:4.66",,,"OverOdds:1.151, UnderOdds:4.82","OverOdds:1.248, UnderOdds:3.64","OverOdds:1.704, UnderOdds:2.09","OverOdds:2.25, UnderOdds:1.609","OverOdds:2.88, UnderOdds:1.377",,,,,,,,,,,,
2024-12-06 20:55:06,1601780239,Italy - Serie C Group A Corners,2024-12-06T19:30:00Z,Trento (Corners),Novara (Corners),2,0,"HomeOdds:2.37, AwayOdds:1.549",,,,,,,"HomeOdds:2.11, AwayOdds:1.694","HomeOdds:1.854, AwayOdds:1.925","HomeOdds:1.636, AwayOdds:2.2","HomeOdds:1.507, AwayOdds:2.46",,,,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.4, UnderOdds:2.8","OverOdds:1.52, UnderOdds:2.43","OverOdds:1.775, UnderOdds:2.01","OverOdds:2.05, UnderOdds:1.735","OverOdds:2.36, UnderOdds:1.555",,"HomeOdds:2.86, AwayOdds:1.383","HomeOdds:5.06, AwayOdds:1.138",,"HomeOdds:2.07, AwayOdds:1.719","HomeOdds:1.534, AwayOdds:2.4","HomeOdds:1.221, AwayOdds:3.88",,,,,,"OverOdds:1.184, UnderOdds:4.3","OverOdds:1.571, UnderOdds:2.32","OverOdds:1.97, UnderOdds:1.806","OverOdds:2.53, UnderOdds:1.483","OverOdds:3.78, UnderOdds:1.232",,,,,,,,,
2024-12-06 20:55:06,1601780244,Italy - Serie C Group B Corners,2024-12-06T19:30:00Z,Ascoli (Corners),Sestri Levante (Corners),1,0,,"HomeOdds:1.497, AwayOdds:2.49","HomeOdds:1.709, AwayOdds:2.08","HomeOdds:1.917, AwayOdds:1.862","HomeOdds:2.15, AwayOdds:1.666","HomeOdds:2.6, AwayOdds:1.458",,,,,,,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.416, UnderOdds:2.74","OverOdds:1.549, UnderOdds:2.37","OverOdds:1.813, UnderOdds:1.97","OverOdds:2.12, UnderOdds:1.684","OverOdds:2.46, UnderOdds:1.51",,,,"HomeOdds:1.9, AwayOdds:1.884","HomeOdds:2.71, AwayOdds:1.423","HomeOdds:3.5, AwayOdds:1.265","HomeOdds:1.346, AwayOdds:3.03","HomeOdds:1.198, AwayOdds:4.12",,,,,"OverOdds:1.212, UnderOdds:3.97","OverOdds:1.636, UnderOdds:2.2","OverOdds:2.11, UnderOdds:1.694","OverOdds:2.71, UnderOdds:1.423","OverOdds:4.19, UnderOdds:1.193",,,,,,,,,,,
2024-12-06 20:55:06,1601780223,Poland - Ekstraklasa Corners,2024-12-06T19:30:00Z,Gornik Zabrze (Corners),Lech Poznan (Corners),0,0,,,,,,,,,"HomeOdds:2.34, AwayOdds:1.558","HomeOdds:2.1, AwayOdds:1.694","HomeOdds:1.877, AwayOdds:1.909","HomeOdds:1.671, AwayOdds:2.14","HomeOdds:1.543, AwayOdds:2.38",,,,,,,,,,,,,,,,,,,,,"OverOdds:1.478, UnderOdds:2.54","OverOdds:1.621, UnderOdds:2.23","OverOdds:1.869, UnderOdds:1.909","OverOdds:2.15, UnderOdds:1.666","OverOdds:2.43, UnderOdds:1.52",,,"HomeOdds:3.66, DrawOdds:3.77, AwayOdds:1.84","HomeOdds:3.66, AwayOdds:1.245",,,"HomeOdds:2.84, AwayOdds:1.389","HomeOdds:1.934, AwayOdds:1.84","HomeOdds:1.52, AwayOdds:2.43","HomeOdds:1.342, AwayOdds:3.04",,"OverOdds:1.323, UnderOdds:3.14","OverOdds:1.5, UnderOdds:2.49","OverOdds:1.934, UnderOdds:1.847","OverOdds:2.51, UnderOdds:1.492","OverOdds:3.04, UnderOdds:1.342",,,,,,,,,,,,
2024-12-06 20:55:06,1601780246,Italy - Serie C Group C Corners,2024-12-06T19:30:00Z,Audace Cerignola (Corners),Team Altamura (Corners),2,2,,"HomeOdds:1.446, AwayOdds:2.64","HomeOdds:1.641, AwayOdds:2.19","HomeOdds:1.819, AwayOdds:1.961","HomeOdds:2.04, AwayOdds:1.74","HomeOdds:2.41, AwayOdds:1.529",,,,,,,,,,"OverOdds:1.438, UnderOdds:2.66","OverOdds:1.671, UnderOdds:2.14","OverOdds:1.925, UnderOdds:1.854","OverOdds:2.22, UnderOdds:1.625","OverOdds:2.72, UnderOdds:1.42",,,,,,,,,,,,,,,,,,,,,"HomeOdds:1.757, DrawOdds:3.51, AwayOdds:4.34","HomeOdds:1.757, AwayOdds:2.03","HomeOdds:2.38, AwayOdds:1.546","HomeOdds:3.07, AwayOdds:1.337","HomeOdds:1.294, AwayOdds:3.3","HomeOdds:1.181, AwayOdds:4.34",,,,,,,,,,,"OverOdds:1.153, UnderOdds:4.77","OverOdds:1.507, UnderOdds:2.47","OverOdds:1.854, UnderOdds:1.925","OverOdds:2.37, UnderOdds:1.546","OverOdds:3.44, UnderOdds:1.273",,,,,
2024-12-06 20:55:06,1601778986,Morocco - Botola Pro Corners,2024-12-06T19:00:00Z,FUS Rabat (Corners),Difaa El Jadida (Corners),2,0,"HomeOdds:1.751, AwayOdds:2.03","HomeOdds:2.06, AwayOdds:1.724","HomeOdds:2.41, AwayOdds:1.529",,,,,"HomeOdds:1.476, AwayOdds:2.55","HomeOdds:1.353, AwayOdds:2.99",,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.425, UnderOdds:2.71","OverOdds:1.613, UnderOdds:2.24","OverOdds:1.98, UnderOdds:1.8","OverOdds:2.47, UnderOdds:1.507","OverOdds:2.91, UnderOdds:1.371",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601778294,France - National Corners,2024-12-06T18:30:00Z,Villefranche (Corners),Dijon (Corners),2,1,,,,,,,,"HomeOdds:3.54, AwayOdds:1.261","HomeOdds:2.18, AwayOdds:1.649","HomeOdds:1.751, AwayOdds:2.03","HomeOdds:1.49, AwayOdds:2.51","HomeOdds:1.25, AwayOdds:3.61",,,,,,,,,,,,,,,,,,"OverOdds:1.318, UnderOdds:3.17","OverOdds:1.512, UnderOdds:2.45","OverOdds:1.99, UnderOdds:1.787","OverOdds:2.64, UnderOdds:1.446","OverOdds:3.2, UnderOdds:1.312",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
