Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,MONEYLINE_FT,SPREAD_FT_-0.25,SPREAD_FT_-0.5,SPREAD_FT_-0.75,SPREAD_FT_-1.0,SPREAD_FT_-1.25,SPREAD_FT_-1.5,SPREAD_FT_-1.75,SPREAD_FT_-2.0,SPREAD_FT_-2.25,SPREAD_FT_-2.5,SPREAD_FT_-2.75,SPREAD_FT_0.0,SPREAD_FT_0.25,SPREAD_FT_0.5,SPREAD_FT_0.75,SPREAD_FT_1.0,SPREAD_FT_1.25,SPREAD_FT_1.5,SPREAD_FT_1.75,TOTAL_POINTS_FT_0.5,TOTAL_POINTS_FT_0.75,TOTAL_POINTS_FT_1.0,TOTAL_POINTS_FT_1.25,TOTAL_POINTS_FT_1.5,TOTAL_POINTS_FT_1.75,TOTAL_POINTS_FT_2.0,TOTAL_POINTS_FT_2.25,TOTAL_POINTS_FT_2.5,TOTAL_POINTS_FT_2.75,TOTAL_POINTS_FT_3.0,TOTAL_POINTS_FT_3.25,TOTAL_POINTS_FT_3.5,TOTAL_POINTS_FT_3.75,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.25,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_4.75,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.25,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_5.75,TOTAL_POINTS_FT_6.0,TOTAL_POINTS_FT_6.25,TOTAL_POINTS_FT_6.5,MONEYLINE_1H,SPREAD_1H_-0.25,SPREAD_1H_-0.5,SPREAD_1H_-0.75,SPREAD_1H_-1.0,SPREAD_1H_-1.25,SPREAD_1H_-1.5,SPREAD_1H_0.0,SPREAD_1H_0.25,SPREAD_1H_0.5,SPREAD_1H_0.75,SPREAD_1H_1.0,TOTAL_POINTS_1H_0.5,TOTAL_POINTS_1H_0.75,TOTAL_POINTS_1H_1.0,TOTAL_POINTS_1H_1.25,TOTAL_POINTS_1H_1.5,TOTAL_POINTS_1H_1.75,TOTAL_POINTS_1H_2.0,TOTAL_POINTS_1H_2.25,TOTAL_POINTS_1H_2.5,TOTAL_POINTS_1H_2.75,TOTAL_POINTS_1H_3.0,TOTAL_POINTS_1H_3.25,TOTAL_POINTS_1H_3.5,TOTAL_POINTS_1H_3.75,TOTAL_POINTS_1H_4.0,TOTAL_POINTS_1H_4.25
2024-12-06 20:55:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601780222,Spain - Segunda Division,2024-12-06T19:30:00Z,Mirandes,Levante,0,0,"HomeOdds:3.2, DrawOdds:2.58, AwayOdds:2.91","HomeOdds:2.6, AwayOdds:1.537","HomeOdds:3.14, AwayOdds:1.386","HomeOdds:3.95, AwayOdds:1.241",,,,,,,,,"HomeOdds:2.03, AwayOdds:1.854","HomeOdds:1.628, AwayOdds:2.37","HomeOdds:1.446, AwayOdds:2.87","HomeOdds:1.28, AwayOdds:3.6",,,,,,"OverOdds:1.233, UnderOdds:4.03","OverOdds:1.324, UnderOdds:3.48","OverOdds:1.588, UnderOdds:2.44","OverOdds:1.854, UnderOdds:2.01","OverOdds:2.17, UnderOdds:1.729","OverOdds:2.8, UnderOdds:1.456","OverOdds:3.23, UnderOdds:1.331",,,,,,,,,,,,,,,,,,"HomeOdds:5.28, DrawOdds:1.515, AwayOdds:4.77","HomeOdds:3.71, AwayOdds:1.298","HomeOdds:5.21, AwayOdds:1.173",,,,,"HomeOdds:2.04, AwayOdds:1.826","HomeOdds:1.349, AwayOdds:3.34","HomeOdds:1.201, AwayOdds:4.71",,,"OverOdds:2.39, UnderOdds:1.609","OverOdds:3.24, UnderOdds:1.367","OverOdds:6.57, UnderOdds:1.123",,,,,,,,,,,,,
2024-12-06 20:55:06,1601795310,Brazil - Copa Goias U20,2024-12-06T18:30:00Z,Atletico Goianiense,Vila Nova,0,0,"HomeOdds:6.65, DrawOdds:2.4, AwayOdds:1.806","HomeOdds:5.69, AwayOdds:1.106",,,,,,,,,,,"HomeOdds:4.63, AwayOdds:1.155","HomeOdds:2.47, AwayOdds:1.48","HomeOdds:1.917, AwayOdds:1.806","HomeOdds:1.645, AwayOdds:2.12","HomeOdds:1.371, AwayOdds:2.85","HomeOdds:1.276, AwayOdds:3.35",,,"OverOdds:1.275, UnderOdds:3.13","OverOdds:1.38, UnderOdds:2.78","OverOdds:1.546, UnderOdds:2.31","OverOdds:1.892, UnderOdds:1.826","OverOdds:2.21, UnderOdds:1.591","OverOdds:2.7, UnderOdds:1.4","OverOdds:3.7, UnderOdds:1.198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601780295,Italy - Serie A,2024-12-06T19:45:00Z,Atalanta,AC Milan,0,0,"HomeOdds:2.19, DrawOdds:3.38, AwayOdds:3.48","HomeOdds:1.9, AwayOdds:2.0","HomeOdds:2.19, AwayOdds:1.74","HomeOdds:2.61, AwayOdds:1.534","HomeOdds:3.4, AwayOdds:1.316",,,,,,,,"HomeOdds:1.584, AwayOdds:2.5","HomeOdds:1.436, AwayOdds:2.96","HomeOdds:1.331, AwayOdds:3.3",,,,,,,,,,,"OverOdds:1.373, UnderOdds:3.05","OverOdds:1.495, UnderOdds:2.7","OverOdds:1.729, UnderOdds:2.19","OverOdds:1.97, UnderOdds:1.917","OverOdds:2.25, UnderOdds:1.694","OverOdds:2.76, UnderOdds:1.476","OverOdds:3.09, UnderOdds:1.364",,,,,,,,,,,,,,"HomeOdds:2.94, DrawOdds:2.12, AwayOdds:4.17","HomeOdds:2.3, AwayOdds:1.666","HomeOdds:2.94, AwayOdds:1.44","HomeOdds:4.03, AwayOdds:1.263",,,,"HomeOdds:1.641, AwayOdds:2.35","HomeOdds:1.366, AwayOdds:3.25","HomeOdds:1.24, AwayOdds:3.96",,,"OverOdds:1.495, UnderOdds:2.7","OverOdds:1.704, UnderOdds:2.24","OverOdds:2.17, UnderOdds:1.74","OverOdds:2.78, UnderOdds:1.48","OverOdds:3.35, UnderOdds:1.349","OverOdds:4.24, UnderOdds:1.215",,,,,,,,,,
2024-12-06 20:55:06,1601780211,Italy - Serie B,2024-12-06T19:30:00Z,Juve Stabia,Sudtirol,1,0,"HomeOdds:1.299, DrawOdds:4.85, AwayOdds:13.48","HomeOdds:2.05, AwayOdds:1.84","HomeOdds:2.47, AwayOdds:1.588","HomeOdds:3.13, AwayOdds:1.389","HomeOdds:4.7, AwayOdds:1.182",,,,,,,,"HomeOdds:1.609, AwayOdds:2.42","HomeOdds:1.409, AwayOdds:3.03","HomeOdds:1.291, AwayOdds:3.51",,,,,,,,,,,"OverOdds:1.248, UnderOdds:3.87","OverOdds:1.359, UnderOdds:3.25","OverOdds:1.675, UnderOdds:2.26","OverOdds:2.0, UnderOdds:1.869","OverOdds:2.34, UnderOdds:1.632","OverOdds:3.04, UnderOdds:1.4","OverOdds:3.44, UnderOdds:1.298",,,,,,,,,,,,,,,"HomeOdds:3.12, AwayOdds:1.39","HomeOdds:4.41, AwayOdds:1.223","HomeOdds:6.22, AwayOdds:1.111",,,,"HomeOdds:1.699, AwayOdds:2.22","HomeOdds:1.262, AwayOdds:4.04","HomeOdds:1.154, AwayOdds:5.66",,,,,,,"OverOdds:2.41, UnderOdds:1.598","OverOdds:3.28, UnderOdds:1.359","OverOdds:6.8, UnderOdds:1.117",,,,,,,,,
2024-12-06 20:55:06,1601778978,Netherlands - Eredivisie,2024-12-06T19:00:00Z,PSV,FC Twente,3,1,,"HomeOdds:1.531, AwayOdds:2.59","HomeOdds:1.787, AwayOdds:2.11","HomeOdds:2.06, AwayOdds:1.826","HomeOdds:2.6, AwayOdds:1.537","HomeOdds:3.05, AwayOdds:1.406","HomeOdds:3.38, AwayOdds:1.31",,,,,,"HomeOdds:1.265, AwayOdds:3.72",,,,,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.184, UnderOdds:4.68","OverOdds:1.418, UnderOdds:2.96","OverOdds:1.649, UnderOdds:2.31","OverOdds:1.862, UnderOdds:2.0","OverOdds:2.25, UnderOdds:1.68","OverOdds:2.66, UnderOdds:1.497","OverOdds:3.01, UnderOdds:1.373",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601778781,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,Helmond Sport,Den Bosch,0,0,"HomeOdds:3.46, DrawOdds:2.54, AwayOdds:2.72","HomeOdds:2.81, AwayOdds:1.462","HomeOdds:3.41, AwayOdds:1.338","HomeOdds:4.7, AwayOdds:1.209",,,,,,,,,"HomeOdds:2.19, AwayOdds:1.719","HomeOdds:1.704, AwayOdds:2.21","HomeOdds:1.495, AwayOdds:2.7","HomeOdds:1.322, AwayOdds:3.52",,,,,,"OverOdds:1.277, UnderOdds:3.56","OverOdds:1.404, UnderOdds:2.98","OverOdds:1.735, UnderOdds:2.14","OverOdds:2.06, UnderOdds:1.787","OverOdds:2.47, UnderOdds:1.564","OverOdds:3.34, UnderOdds:1.336","OverOdds:3.78, UnderOdds:1.25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601778769,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,VVV Venlo,TOP Oss,0,0,"HomeOdds:2.6, DrawOdds:2.52, AwayOdds:3.71","HomeOdds:2.12, AwayOdds:1.763","HomeOdds:2.59, AwayOdds:1.531","HomeOdds:3.3, AwayOdds:1.358","HomeOdds:5.13, AwayOdds:1.184",,,,,,,,"HomeOdds:1.641, AwayOdds:2.33","HomeOdds:1.416, AwayOdds:3.0","HomeOdds:1.306, AwayOdds:3.64",,,,,,,"OverOdds:1.299, UnderOdds:3.39","OverOdds:1.431, UnderOdds:2.86","OverOdds:1.746, UnderOdds:2.12","OverOdds:2.06, UnderOdds:1.793","OverOdds:2.47, UnderOdds:1.564","OverOdds:3.35, UnderOdds:1.335","OverOdds:3.79, UnderOdds:1.249",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601778865,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,Volendam,Jong AZ Alkmaar,1,0,"HomeOdds:1.303, DrawOdds:5.13, AwayOdds:10.59","HomeOdds:1.892, AwayOdds:1.97","HomeOdds:2.21, AwayOdds:1.704","HomeOdds:2.69, AwayOdds:1.497","HomeOdds:3.76, AwayOdds:1.292",,,,,,,,"HomeOdds:1.552, AwayOdds:2.53","HomeOdds:1.403, AwayOdds:3.06","HomeOdds:1.315, AwayOdds:3.57",,,,,,,,,,,,,"OverOdds:1.33, UnderOdds:3.19","OverOdds:1.543, UnderOdds:2.5","OverOdds:1.714, UnderOdds:2.17","OverOdds:2.02, UnderOdds:1.833","OverOdds:2.39, UnderOdds:1.598","OverOdds:2.75, UnderOdds:1.46","OverOdds:3.33, UnderOdds:1.308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 20:55:06,1601778871,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,Maastricht,Vitesse Arnhem,0,1,"HomeOdds:4.95, DrawOdds:3.81, AwayOdds:1.694","HomeOdds:1.884, AwayOdds:1.98","HomeOdds:2.2, AwayOdds:1.709","HomeOdds:2.67, AwayOdds:1.502","HomeOdds:3.72, AwayOdds:1.296",,,,,,,,"HomeOdds:1.546, AwayOdds:2.55","HomeOdds:1.4, AwayOdds:3.08","HomeOdds:1.313, AwayOdds:3.59",,,,,,,,,,,,"OverOdds:1.226, UnderOdds:4.03","OverOdds:1.502, UnderOdds:2.62","OverOdds:1.775, UnderOdds:2.08","OverOdds:2.05, UnderOdds:1.806","OverOdds:2.59, UnderOdds:1.523","OverOdds:3.04, UnderOdds:1.392","OverOdds:3.41, UnderOdds:1.295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
