Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,SPREAD_FT_-0.5,SPREAD_FT_-1.0,SPREAD_FT_-1.5,SPREAD_FT_-2.0,SPREAD_FT_0.0,SPREAD_FT_0.5,SPREAD_FT_1.0,SPREAD_FT_1.5,SPREAD_FT_2.0,SPREAD_FT_2.5,TOTAL_POINTS_FT_10.0,TOTAL_POINTS_FT_10.5,TOTAL_POINTS_FT_11.0,TOTAL_POINTS_FT_11.5,TOTAL_POINTS_FT_12.0,TOTAL_POINTS_FT_14.5,TOTAL_POINTS_FT_15.0,TOTAL_POINTS_FT_15.5,TOTAL_POINTS_FT_16.0,TOTAL_POINTS_FT_16.5,TOTAL_POINTS_FT_2.0,TOTAL_POINTS_FT_2.5,TOTAL_POINTS_FT_3.0,TOTAL_POINTS_FT_3.5,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_6.0,TOTAL_POINTS_FT_6.5,TOTAL_POINTS_FT_7.0,TOTAL_POINTS_FT_7.5,TOTAL_POINTS_FT_8.0,TOTAL_POINTS_FT_8.5,TOTAL_POINTS_FT_9.0,TOTAL_POINTS_FT_9.5,SPREAD_1H_-0.5,SPREAD_1H_-1.0,SPREAD_1H_0.0,SPREAD_1H_0.5,TOTAL_POINTS_1H_3.5,TOTAL_POINTS_1H_4.0,TOTAL_POINTS_1H_4.5,TOTAL_POINTS_1H_5.0,TOTAL_POINTS_1H_5.5
2024-12-06 21:48:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601780217,Italy - Serie B Corners,2024-12-06T19:30:00Z,Juve Stabia (Corners),Sudtirol (Corners),5,2,"HomeOdds:2.39, AwayOdds:1.574","HomeOdds:3.47, AwayOdds:1.289",,,"HomeOdds:1.97, AwayOdds:1.862","HomeOdds:1.641, AwayOdds:2.26","HomeOdds:1.343, AwayOdds:3.14",,,,"OverOdds:1.813, UnderOdds:2.03","OverOdds:2.3, UnderOdds:1.632","OverOdds:3.16, UnderOdds:1.349",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.217, UnderOdds:4.21","OverOdds:1.512, UnderOdds:2.58",,,,,,,,,
2024-12-06 21:48:49,1601780226,Spain - Segunda Division Corners,2024-12-06T19:30:00Z,Mirandes (Corners),Levante (Corners),1,4,"HomeOdds:1.781, AwayOdds:2.05","HomeOdds:2.21, AwayOdds:1.671","HomeOdds:2.67, AwayOdds:1.456",,"HomeOdds:1.469, AwayOdds:2.67","HomeOdds:1.335, AwayOdds:3.18",,,,,"OverOdds:2.62, UnderOdds:1.5","OverOdds:3.17, UnderOdds:1.348",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.38, UnderOdds:3.01","OverOdds:1.574, UnderOdds:2.42","OverOdds:1.99, UnderOdds:1.854",,,,,,,,,
2024-12-06 21:48:49,1601780237,Italy - Serie C Group A Corners,2024-12-06T19:30:00Z,Lecco (Corners),Caldiero Terme (Corners),2,3,"HomeOdds:2.16, AwayOdds:1.657","HomeOdds:3.03, AwayOdds:1.343",,,"HomeOdds:1.751, AwayOdds:2.03","HomeOdds:1.495, AwayOdds:2.5","HomeOdds:1.246, AwayOdds:3.65",,,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.244, UnderOdds:3.67","OverOdds:1.561, UnderOdds:2.34","OverOdds:1.917, UnderOdds:1.862","OverOdds:2.41, UnderOdds:1.531","OverOdds:3.4, UnderOdds:1.28",,,,,,,,,,
2024-12-06 21:48:49,1601780239,Italy - Serie C Group A Corners,2024-12-06T19:30:00Z,Trento (Corners),Novara (Corners),5,2,"HomeOdds:1.641, AwayOdds:2.19","HomeOdds:1.99, AwayOdds:1.793","HomeOdds:2.42, AwayOdds:1.526","HomeOdds:3.48, AwayOdds:1.268","HomeOdds:1.32, AwayOdds:3.15",,,,,,"OverOdds:1.84, UnderOdds:1.934","OverOdds:2.28, UnderOdds:1.591","OverOdds:3.21, UnderOdds:1.31",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.217, UnderOdds:3.92","OverOdds:1.537, UnderOdds:2.39",,,,,,,,,
2024-12-06 21:48:49,1601781462,Argentina - Liga Pro Corners,2024-12-06T20:00:00Z,Deportivo Riestra (Corners),Barracas Central (Corners),0,3,,,,,"HomeOdds:2.8, AwayOdds:1.357","HomeOdds:2.15, AwayOdds:1.609","HomeOdds:1.925, AwayOdds:1.793","HomeOdds:1.709, AwayOdds:2.01","HomeOdds:1.526, AwayOdds:2.31",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.395, UnderOdds:2.67","OverOdds:1.636, UnderOdds:2.11","OverOdds:1.909, UnderOdds:1.806","OverOdds:2.23, UnderOdds:1.568","OverOdds:2.89, UnderOdds:1.336",,,,,,,,,,
2024-12-06 21:48:49,1601780244,Italy - Serie C Group B Corners,2024-12-06T19:30:00Z,Ascoli (Corners),Sestri Levante (Corners),5,0,"HomeOdds:2.17, AwayOdds:1.653","HomeOdds:3.2, AwayOdds:1.312",,,"HomeOdds:1.709, AwayOdds:2.09","HomeOdds:1.448, AwayOdds:2.63","HomeOdds:1.206, AwayOdds:4.03",,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.246, UnderOdds:3.65","OverOdds:1.375, UnderOdds:2.89","OverOdds:1.781, UnderOdds:2.0","OverOdds:2.31, UnderOdds:1.574","OverOdds:2.9, UnderOdds:1.374",,,,,,,,,,,
2024-12-06 21:48:49,1601780223,Poland - Ekstraklasa Corners,2024-12-06T19:30:00Z,Gornik Zabrze (Corners),Lech Poznan (Corners),2,1,,,,,"HomeOdds:3.06, AwayOdds:1.338","HomeOdds:2.32, AwayOdds:1.571","HomeOdds:2.02, AwayOdds:1.763","HomeOdds:1.74, AwayOdds:2.04","HomeOdds:1.497, AwayOdds:2.49",,,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.359, UnderOdds:2.96","OverOdds:1.495, UnderOdds:2.5","OverOdds:1.8, UnderOdds:1.98","OverOdds:2.12, UnderOdds:1.684","OverOdds:2.47, UnderOdds:1.507",,,,,,,,,
2024-12-06 21:48:49,1601780246,Italy - Serie C Group C Corners,2024-12-06T19:30:00Z,Audace Cerignola (Corners),Team Altamura (Corners),3,3,"HomeOdds:1.97, AwayOdds:1.813","HomeOdds:2.59, AwayOdds:1.462","HomeOdds:3.14, AwayOdds:1.322",,"HomeOdds:1.588, AwayOdds:2.28","HomeOdds:1.401, AwayOdds:2.79",,,,,"OverOdds:3.03, UnderOdds:1.344",,,,,,,,,,,,,,,,,,,,,,"OverOdds:1.195, UnderOdds:4.16","OverOdds:1.483, UnderOdds:2.53","OverOdds:1.757, UnderOdds:2.02","OverOdds:2.21, UnderOdds:1.628",,,,,,,,,
2024-12-06 21:48:49,1601778986,Morocco - Botola Pro Corners,2024-12-06T19:00:00Z,FUS Rabat (Corners),Difaa El Jadida (Corners),2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
