Timestamp,event_id,league,match_time,home_team,away_team,home_score,away_score,MONEYLINE_FT,SPREAD_FT_-0.25,SPREAD_FT_-0.5,SPREAD_FT_-0.75,SPREAD_FT_-1.0,SPREAD_FT_-1.25,SPREAD_FT_-1.5,SPREAD_FT_-1.75,SPREAD_FT_-2.0,SPREAD_FT_0.0,SPREAD_FT_0.25,SPREAD_FT_0.5,SPREAD_FT_0.75,SPREAD_FT_1.0,SPREAD_FT_1.25,SPREAD_FT_1.5,SPREAD_FT_1.75,TOTAL_POINTS_FT_0.5,TOTAL_POINTS_FT_0.75,TOTAL_POINTS_FT_1.0,TOTAL_POINTS_FT_1.25,TOTAL_POINTS_FT_1.5,TOTAL_POINTS_FT_1.75,TOTAL_POINTS_FT_2.0,TOTAL_POINTS_FT_2.25,TOTAL_POINTS_FT_2.5,TOTAL_POINTS_FT_2.75,TOTAL_POINTS_FT_3.0,TOTAL_POINTS_FT_3.25,TOTAL_POINTS_FT_3.5,TOTAL_POINTS_FT_3.75,TOTAL_POINTS_FT_4.0,TOTAL_POINTS_FT_4.25,TOTAL_POINTS_FT_4.5,TOTAL_POINTS_FT_4.75,TOTAL_POINTS_FT_5.0,TOTAL_POINTS_FT_5.25,TOTAL_POINTS_FT_5.5,TOTAL_POINTS_FT_5.75,TOTAL_POINTS_FT_7.5,MONEYLINE_1H,SPREAD_1H_-0.25,SPREAD_1H_-0.5,SPREAD_1H_-0.75,SPREAD_1H_0.0,SPREAD_1H_0.25,SPREAD_1H_0.5,TOTAL_POINTS_1H_0.5,TOTAL_POINTS_1H_0.75,TOTAL_POINTS_1H_1.0,TOTAL_POINTS_1H_1.25,TOTAL_POINTS_1H_1.5,TOTAL_POINTS_1H_1.75,TOTAL_POINTS_1H_2.0
2024-12-06 21:48:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601780222,Spain - Segunda Division,2024-12-06T19:30:00Z,Mirandes,Levante,0,1,"HomeOdds:18.9, DrawOdds:4.45, AwayOdds:1.296","HomeOdds:2.81, AwayOdds:1.473","HomeOdds:3.66, AwayOdds:1.303","HomeOdds:5.13, AwayOdds:1.158",,,,,,"HomeOdds:1.892, AwayOdds:1.99","HomeOdds:1.438, AwayOdds:2.94","HomeOdds:1.284, AwayOdds:3.83","HomeOdds:1.148, AwayOdds:5.36",,,,,,,,,"OverOdds:1.719, UnderOdds:2.18","OverOdds:2.11, UnderOdds:1.769","OverOdds:3.32, UnderOdds:1.357","OverOdds:4.26, UnderOdds:1.238","OverOdds:5.02, UnderOdds:1.165",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601788784,Argentina - Primera Division Women,2024-12-06T20:00:00Z,Gimnasia Y Esgrima La Plata,Estudiantes de Caseros,1,1,"HomeOdds:1.862, DrawOdds:2.93, AwayOdds:5.13","HomeOdds:1.574, AwayOdds:2.34","HomeOdds:1.862, AwayOdds:1.917","HomeOdds:2.19, AwayOdds:1.653","HomeOdds:2.91, AwayOdds:1.39","HomeOdds:3.42, AwayOdds:1.296",,,,"HomeOdds:1.286, AwayOdds:3.49","HomeOdds:1.212, AwayOdds:4.19",,,,,,,,,,,,,,,,"OverOdds:1.196, UnderOdds:4.1","OverOdds:1.282, UnderOdds:3.51","OverOdds:1.558, UnderOdds:2.38","OverOdds:1.847, UnderOdds:1.934","OverOdds:2.14, UnderOdds:1.68","OverOdds:2.74, UnderOdds:1.427","OverOdds:3.13, UnderOdds:1.311",,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601780295,Italy - Serie A,2024-12-06T19:45:00Z,Atalanta,AC Milan,1,1,"HomeOdds:2.43, DrawOdds:2.55, AwayOdds:4.21","HomeOdds:1.99, AwayOdds:1.909","HomeOdds:2.43, AwayOdds:1.617","HomeOdds:3.09, AwayOdds:1.406","HomeOdds:4.71, AwayOdds:1.188",,,,,"HomeOdds:1.531, AwayOdds:2.65","HomeOdds:1.352, AwayOdds:3.38","HomeOdds:1.248, AwayOdds:3.95",,,,,,,,,,,,,,,"OverOdds:1.293, UnderOdds:3.54","OverOdds:1.425, UnderOdds:2.97","OverOdds:1.757, UnderOdds:2.15","OverOdds:2.08, UnderOdds:1.806","OverOdds:2.52, UnderOdds:1.568","OverOdds:3.48, UnderOdds:1.332","OverOdds:3.96, UnderOdds:1.246",,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601780211,Italy - Serie B,2024-12-06T19:30:00Z,Juve Stabia,Sudtirol,1,0,"HomeOdds:1.2, DrawOdds:5.68, AwayOdds:26.96","HomeOdds:2.41, AwayOdds:1.613","HomeOdds:3.2, AwayOdds:1.384","HomeOdds:4.5, AwayOdds:1.223",,,,,,"HomeOdds:1.598, AwayOdds:2.45","HomeOdds:1.308, AwayOdds:3.63","HomeOdds:1.192, AwayOdds:4.54",,,,,,,,,,"OverOdds:1.694, UnderOdds:2.23","OverOdds:2.04, UnderOdds:1.833","OverOdds:2.96, UnderOdds:1.427","OverOdds:3.74, UnderOdds:1.289","OverOdds:4.39, UnderOdds:1.203",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778978,Netherlands - Eredivisie,2024-12-06T19:00:00Z,PSV,FC Twente,6,1,,"HomeOdds:3.47, AwayOdds:1.321","HomeOdds:5.43, AwayOdds:1.163",,,,,,,"HomeOdds:1.314, AwayOdds:3.53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OverOdds:4.08, UnderOdds:1.255",,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778781,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,Helmond Sport,Den Bosch,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778769,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,VVV Venlo,TOP Oss,0,0,"HomeOdds:11.18, DrawOdds:1.142, AwayOdds:10.59","HomeOdds:6.72, AwayOdds:1.119",,,,,,,,"HomeOdds:1.98, AwayOdds:1.862","HomeOdds:1.13, AwayOdds:6.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778865,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,Volendam,Jong AZ Alkmaar,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12-06 21:48:49,1601778871,Netherlands - Eerste Divisie,2024-12-06T19:00:00Z,Maastricht,Vitesse Arnhem,2,1,,"HomeOdds:3.34, AwayOdds:1.35","HomeOdds:4.82, AwayOdds:1.201","HomeOdds:7.61, AwayOdds:1.105",,,,,,"HomeOdds:1.757, AwayOdds:2.13","HomeOdds:1.264, AwayOdds:4.02","HomeOdds:1.155, AwayOdds:5.77",,,,,,,,,,,,,,,,,,"OverOdds:2.59, UnderOdds:1.518","OverOdds:3.7, UnderOdds:1.294",,,,,,,,,,,,,,,,,,,,,,,
